MONTH,FII (INR Crore),,,DII (INR Crore),,,NIFTY
,Buy Amount,Sell Amount,Net Amount,Buy Amount,Sell Amount,Net Amount,
"09 Sep, 2025",11896.67,9846.21,2050.46,10422.84,10339.76,83.08,24868.695.45 (0.39%)
"08 Sep, 2025",8228.52,10398.87,-2170.35,11080.7,8066.4,3014.3,24773.1532.15 (0.13%)
"05 Sep, 2025",8096.45,9401.36,-1304.91,10633.48,8812.25,1821.23,247416.7 (0.03%)
"04 Sep, 2025",12262.84,12369.18,-106.34,16588.04,14354.95,2233.09,24734.319.25 (0.08%)
"03 Sep, 2025",10784.27,12450.73,-1666.46,14834.78,12339.45,2495.33,24715.05135.45 (0.55%)
"02 Sep, 2025",8939.36,10098.84,-1159.48,12904.06,10354.55,2549.51,24579.6-45.45 (-0.18%)
"01 Sep, 2025",9540.36,10970.07,-1429.71,13314.23,8969.3,4344.93,24625.05198.2 (0.81%)
,,,,,,,
"29 Aug, 2025",9679.99,17992.65,-8312.66,20676.78,9189.14,11487.64,24426.85-74.05 (-0.3%)
"28 Aug, 2025",17742.69,21599.2,-3856.51,17391.44,10471.1,6920.34,24500.9-211.15 (-0.85%)
"26 Aug, 2025",44146.8,50663.29,-6516.49,22000.77,14940.4,7060.37,24712.05-255.7 (-1.02%)
"25 Aug, 2025",9951.36,12417.6,-2466.24,13371.09,10194.4,3176.69,24967.7597.65 (0.39%)
"22 Aug, 2025",10179.18,11801.7,-1622.52,10106.92,10436.17,-329.25,24870.1-213.65 (-0.85%)
"21 Aug, 2025",14960.14,13713.63,1246.51,14514.86,11968.59,2546.27,25083.7533.2 (0.13%)
"20 Aug, 2025",11599.55,12699.64,-1100.09,14464.24,12657.9,1806.34,25050.5569.9 (0.28%)
"19 Aug, 2025",12604.01,13238.27,-634.26,11880.89,9619.83,2261.06,24980.65103.7 (0.42%)
"18 Aug, 2025",20070.25,19519.4,550.85,18649.74,14545.93,4103.81,24876.95245.65 (1%)
"14 Aug, 2025",13646.01,15572.77,-1926.76,13144.45,9248.77,3895.68,24631.311.95 (0.05%)
