Date,FII_Buy,FII_Sell,FII_Net,DII_Buy,DII_Sell,DII_Net,Nifty_Close,Nifty_Change,Nifty_%Chg
2013-06-17,1693.88,1858.98,-165.1,1123.21,761.68,361.53,,,
2013-06-18,1784.15,2381.53,-597.38,1246.13,663.48,582.65,,,
2013-06-19,1984.88,2529.84,-544.96,1171.53,755.71,415.82,,,
2013-06-20,2283.48,4377.54,-2094.06,2605.19,1272.69,1332.5,,,
2013-06-21,2796.9,4565.5,-1768.6,2167.16,970.51,1196.65,,,
2013-06-24,2344.26,3897.24,-1552.98,1897.71,966.6,931.11,,,
2013-06-25,2519.4,3805.26,-1285.86,1993.06,1168.7,824.36,,,
2013-06-26,3062.4,3610.19,-547.79,1187.0,850.02,336.98,,,
2013-06-27,5110.77,6154.04,-1043.27,1290.11,931.73,358.38,,,
2013-06-28,5792.07,4667.76,1124.31,1430.12,2011.4,-581.28,,,
2013-07-02,3121.19,2294.05,827.14,827.75,1817.48,-989.73,,,
2013-07-03,3197.69,2567.22,630.47,713.69,1428.8,-715.11,,,
2013-07-05,3021.82,2366.61,655.21,744.18,1473.35,-729.17,,,
2013-07-06,2444.08,2286.18,157.9,980.79,808.09,172.7,,,
2013-07-08,3428.17,3779.09,-350.92,1561.88,1300.15,261.73,,,
2013-07-10,2422.94,1928.81,494.13,794.74,1062.2,-267.46,,,
2013-07-11,2059.67,1580.43,479.24,613.88,1328.95,-715.07,,,
2013-07-15,1908.56,2135.81,-227.25,1217.46,763.18,454.28,,,
2013-07-16,2503.01,2860.41,-357.4,1371.11,1581.66,-210.55,,,
2013-07-17,4218.43,4244.52,-26.09,1902.53,1976.39,-73.86,,,
2013-07-18,3188.45,3366.74,-178.29,1423.83,1663.24,-239.41,,,
2013-07-19,3396.35,3144.09,252.26,1364.17,1593.27,-229.1,,,
2013-07-22,1758.33,2164.35,-406.02,1262.87,963.02,299.85,,,
2013-07-23,2527.54,2316.18,211.36,1072.01,1011.15,60.86,,,
2013-07-24,2871.92,3276.42,-404.5,1384.44,1713.24,-328.8,,,
2013-07-25,4232.84,4675.78,-442.94,1978.18,2116.98,-138.8,,,
2013-07-26,2787.19,2509.15,278.04,1116.55,1605.72,-489.17,,,
2013-07-29,2180.38,2412.15,-231.77,1108.18,1209.44,-101.26,,,
2013-07-30,2545.31,2288.86,256.45,1256.61,1671.61,-415.0,,,
2013-07-31,5007.17,4864.3,142.87,1791.08,1919.1,-128.02,,,
2013-08-01,3177.07,2289.69,887.38,735.4,1763.52,-1028.12,,,
2013-08-02,4385.02,2894.2,1490.82,953.3,1662.66,-709.36,,,
2013-08-03,3442.45,2158.87,1283.58,868.5,1705.08,-836.58,,,
2013-08-04,1546.88,1710.83,-163.95,777.09,564.37,212.72,,,
2013-08-05,3036.88,2059.89,976.99,782.24,1451.32,-669.08,,,
2013-08-07,2117.95,2322.41,-204.46,831.09,890.2,-59.11,,,
2013-08-08,2888.12,3283.9,-395.78,1484.38,968.23,516.15,,,
2013-08-10,2611.1,2384.78,226.32,706.64,1160.99,-454.35,,,
2013-08-11,2366.4,1954.37,412.03,652.33,1567.96,-915.63,,,
2013-08-13,3419.1,3192.02,227.08,1242.5,1127.21,115.29,,,
2013-08-14,2819.2,2571.24,247.96,1401.47,1152.19,249.28,,,
2013-08-16,4336.64,4899.87,-563.23,1940.51,1208.28,732.23,,,
2013-08-19,2805.12,3485.2,-680.08,1458.93,1086.28,372.65,,,
2013-08-20,2989.94,4414.26,-1424.32,1991.2,925.05,1066.15,,,
2013-08-21,3955.22,4747.33,-792.11,1831.7,1056.25,775.45,,,
2013-08-22,3531.13,4808.77,-1277.64,1682.21,1292.55,389.66,,,
2013-08-23,3433.98,3582.55,-148.57,1496.8,740.93,755.87,,,
2013-08-26,2251.05,2858.48,-607.43,1472.37,1062.38,409.99,,,
2013-08-27,2936.12,4310.11,-1373.99,1713.12,1232.62,480.5,,,
2013-08-28,4107.0,5227.43,-1120.43,2243.56,1736.78,506.78,,,
2013-08-29,4904.11,5152.29,-248.18,1649.16,1724.96,-75.8,,,
2013-08-30,6422.29,6501.14,-78.85,2251.77,1520.7,731.07,,,
2013-09-01,3784.62,2935.67,848.95,1111.15,1629.45,-518.3,,,
2013-09-04,2080.02,2744.92,-664.9,1628.17,640.36,987.81,,,
2013-09-05,2249.43,1586.55,662.88,736.23,1212.92,-476.69,,,
2013-09-07,2603.01,2437.41,165.6,1070.75,1032.92,37.83,,,
2013-09-10,2706.65,2380.07,326.58,1265.51,1362.61,-97.1,,,
2013-09-12,4863.1,2389.93,2473.17,1236.34,2442.15,-1205.81,,,
2013-09-13,2688.62,2786.62,-98.0,744.2,896.29,-152.09,,,
2013-09-16,2829.31,2546.44,282.87,1032.31,1457.48,-425.17,,,
2013-09-17,2345.89,2027.84,318.05,477.43,978.62,-501.19,,,
2013-09-18,2476.35,1896.22,580.13,680.82,1189.23,-508.41,,,
2013-09-19,7118.16,3574.32,3543.84,1324.83,3154.55,-1829.72,,,
2013-09-20,5476.38,4530.62,945.76,1080.6,1870.82,-790.22,,,
2013-09-23,2779.44,2860.01,-80.57,822.05,1567.93,-745.88,,,
2013-09-24,3122.21,3143.3,-21.09,1036.3,1530.04,-493.74,,,
2013-09-25,3365.87,2983.42,382.45,772.14,1245.42,-473.28,,,
2013-09-26,3432.45,3260.3,172.15,1178.09,1540.2,-362.11,,,
2013-09-27,1787.12,2032.07,-244.95,941.05,1056.32,-115.27,,,
2013-09-30,2147.39,2667.03,-519.64,1072.96,983.2,89.76,,,
2013-10-04,2822.16,2781.94,40.22,841.82,644.53,197.29,,,
2013-10-05,2395.67,1851.56,544.11,755.87,1258.19,-502.32,,,
2013-10-06,2229.24,2343.24,-114.0,764.93,834.68,-69.75,,,
2013-10-07,2004.86,1929.4,75.46,1011.37,982.59,28.78,,,
2013-10-09,5984.75,3421.15,2563.6,954.02,2352.07,-1398.05,,,
2013-10-10,2294.53,1680.26,614.27,933.06,1393.53,-460.47,,,
2013-10-12,4574.97,4179.29,395.68,1165.87,1794.03,-628.16,,,
2013-10-14,2237.36,1507.07,730.29,555.35,1196.55,-641.2,,,
2013-10-15,2546.04,1409.81,1136.23,571.31,1606.65,-1035.34,,,
2013-10-17,3942.6,2832.67,1109.93,590.91,1740.13,-1149.22,,,
2013-10-18,3861.16,2108.18,1752.98,1105.15,1667.38,-562.23,,,
2013-10-21,2871.82,1840.03,1031.79,782.48,1506.58,-724.1,,,
2013-10-22,2548.94,1754.04,794.9,639.48,1484.78,-845.3,,,
2013-10-23,2605.31,1960.51,644.8,752.53,1298.1,-545.57,,,
2013-10-24,2890.31,1898.48,991.83,800.89,1536.29,-735.4,,,
2013-10-25,2300.66,1673.67,626.99,657.4,1155.35,-497.95,,,
2013-10-28,2328.97,1692.19,636.78,458.04,1360.72,-902.68,,,
2013-10-29,2838.12,1735.08,1103.04,991.53,1885.57,-894.04,,,
2013-10-30,2910.2,1893.43,1016.77,907.29,1457.89,-550.6,,,
2013-10-31,5667.87,3792.0,1875.87,1207.4,2041.19,-833.79,,,
2013-11-01,3507.98,2682.81,825.17,1363.88,1879.95,-516.07,,,
2013-11-02,3630.49,2634.66,995.83,668.09,1608.99,-940.9,,,
2013-11-03,3240.64,2252.42,988.22,830.63,1617.21,-786.58,,,
2013-11-04,3395.11,3358.48,36.63,659.02,601.31,57.71,,,
2013-11-06,2612.89,3498.74,-885.85,1754.63,1441.21,313.42,,,
2013-11-07,2527.29,1889.03,638.26,842.71,1077.32,-234.61,,,
2013-11-09,3272.46,2685.96,586.5,1309.22,1695.34,-386.12,,,
2013-11-10,2765.32,1754.87,1010.45,947.35,1491.54,-544.19,,,
2013-11-11,2317.24,1983.74,333.5,562.01,1344.54,-782.53,,,
2013-11-12,2972.33,2009.62,962.71,712.69,1554.64,-841.95,,,
2013-11-13,2592.58,2292.88,299.7,892.26,1145.27,-253.01,,,
2013-11-14,2624.0,1653.97,970.03,838.72,1249.53,-410.81,,,
2013-11-18,3504.59,2346.02,1158.57,677.3,1332.7,-655.4,,,
2013-11-19,2835.17,1820.56,1014.61,654.41,1380.96,-726.55,,,
2013-11-20,2626.72,2546.32,80.4,711.0,994.81,-283.81,,,
2013-11-21,2445.54,2505.34,-59.8,623.68,1274.34,-650.66,,,
2013-11-22,1864.71,1867.54,-2.83,705.87,958.32,-252.45,,,
2013-11-25,2558.3,1720.5,837.8,667.72,1460.15,-792.43,,,
2013-11-26,6271.27,6610.43,-339.16,1181.92,1538.82,-356.9,,,
2013-11-27,2410.92,2459.45,-48.53,778.26,836.39,-58.13,,,
