Date,FII_Buy,FII_Sell,FII_Net,DII_Buy,DII_Sell,DII_Net,Nifty_Close,Nifty_Change,Nifty_%Chg
2021-05-14,5856.4,8464.25,-2607.85,5444.16,4830.9,613.26,,,
2021-05-17,5797.54,8053.38,-2255.84,7096.88,5148.4,1948.48,,,
2021-05-18,8433.44,7814.95,618.49,6301.03,5851.51,449.52,,,
2021-05-19,7138.11,7835.86,-697.75,4722.98,5575.5,-852.52,,,
2021-05-20,8149.8,8078.76,71.04,4723.27,5599.33,-876.06,,,
2021-05-21,7950.66,7440.5,510.16,6089.36,5440.26,649.1,,,
2021-05-24,7830.55,7245.19,585.36,5329.13,6036.82,-707.69,,,
2021-05-25,7282.89,6323.12,959.77,4299.61,4863.2,-563.59,,,
2021-05-26,5114.13,4872.53,241.6,3623.92,4062.51,-438.59,,,
2021-05-27,42734.21,43395.11,-660.9,6139.4,6027.02,112.38,,,
2021-05-28,5917.71,5004.12,913.59,6440.88,5165.66,1275.22,,,
2021-05-31,7456.51,5044.12,2412.39,4912.06,4732.28,179.78,,,
2021-06-01,6733.28,7216.92,-483.64,5686.04,6066.45,-380.41,,,
2021-06-04,4825.29,5918.04,-1092.75,4518.84,4102.25,416.59,,,
2021-06-05,6326.62,5104.04,1222.58,4036.91,4669.42,-632.51,,,
2021-06-07,4221.77,4765.07,-543.3,5867.38,5346.08,521.3,,,
2021-06-08,6511.05,6580.42,-69.37,6439.14,7070.14,-631.0,,,
2021-06-09,5389.54,5978.9,-589.36,5825.04,5277.73,547.31,,,
2021-06-10,7357.95,8160.76,-802.81,5826.16,6824.85,-998.69,,,
2021-06-12,4130.25,7491.53,-3361.28,4780.05,3078.49,1701.56,,,
2021-06-14,4339.27,4842.78,-503.51,4801.07,4256.81,544.26,,,
2021-06-15,7621.18,6987.49,633.69,3875.29,4524.58,-649.29,,,
2021-06-16,5940.25,6810.54,-870.29,4027.52,4901.72,-874.2,,,
2021-06-17,6727.57,7607.3,-879.73,5107.52,5062.28,45.24,,,
2021-06-18,20440.85,17760.28,2680.57,7052.77,6606.57,446.2,,,
2021-06-21,4675.48,5920.19,-1244.71,4028.31,3890.22,138.09,,,
2021-06-22,6488.06,7516.0,-1027.94,5099.01,4796.56,302.45,,,
2021-06-23,13648.63,10492.1,3156.53,4982.56,3665.36,1317.2,,,
2021-06-24,7094.36,9985.3,-2890.94,5377.76,4239.0,1138.76,,,
2021-06-25,6766.31,7445.15,-678.84,6844.01,5011.25,1832.76,,,
2021-06-28,4275.71,5934.43,-1658.72,5634.19,4357.11,1277.08,,,
2021-06-29,10932.02,10815.39,116.63,8687.31,6877.26,1810.05,,,
2021-06-30,6057.48,7704.14,-1646.66,6171.14,4650.96,1520.18,,,
2021-07-01,8481.77,8099.47,382.3,4815.72,5805.22,-989.5,,,
2021-07-04,7380.16,7152.74,227.42,4903.19,4522.11,381.08,,,
2021-07-05,7159.99,8302.74,-1142.75,6414.23,4946.14,1468.09,,,
2021-07-06,6811.49,6997.95,-186.46,5644.06,4660.09,983.97,,,
2021-07-07,5963.59,5430.65,532.94,4345.38,4577.18,-231.8,,,
2021-07-09,6640.48,6785.93,-145.45,5160.43,5297.0,-136.57,,,
2021-07-10,6734.6,8498.85,-1764.25,7892.67,5364.03,2528.64,,,
2021-07-12,7625.01,10209.98,-2584.97,6637.69,4031.88,2605.81,,,
2021-07-13,5215.72,5101.89,113.83,5589.72,5245.53,344.19,,,
2021-07-14,5234.2,6538.15,-1303.95,5085.07,3749.16,1335.91,,,
2021-07-15,5547.11,5811.88,-264.77,5266.49,4827.08,439.41,,,
2021-07-16,4988.34,5454.64,-466.3,5619.29,4953.22,666.07,,,
2021-07-19,6366.78,8565.49,-2198.71,5913.3,4865.64,1047.66,,,
2021-07-20,4276.7,7111.66,-2834.96,5675.86,4802.72,873.14,,,
2021-07-22,8329.28,8576.87,-247.59,6386.46,5443.91,942.55,,,
2021-07-23,7663.49,7826.8,-163.31,7415.99,5228.19,2187.8,,,
2021-07-26,5495.57,7872.36,-2376.79,5885.63,4334.36,1551.27,,,
2021-07-27,8522.42,9981.5,-1459.08,6332.46,5602.5,729.96,,,
2021-07-28,6941.15,9215.92,-2274.77,6663.07,5741.62,921.45,,,
2021-07-29,8373.72,9239.98,-866.26,7181.58,5134.62,2046.96,,,
2021-07-30,8506.05,12354.36,-3848.31,8047.43,5090.75,2956.68,,,
2021-08-01,13171.18,7141.35,6029.83,4792.7,7165.24,-2372.54,,,
2021-08-02,8017.52,6140.92,1876.6,5356.49,5861.35,-504.86,,,
2021-08-03,5918.33,7412.82,-1494.49,3838.89,3355.27,483.62,,,
2021-08-04,8752.01,8641.16,110.85,4854.39,4301.61,552.78,,,
2021-08-06,7646.87,6224.16,1422.71,3936.21,5563.19,-1626.98,,,
2021-08-07,5344.41,5899.33,-554.92,3864.15,4813.33,-949.18,,,
2021-08-09,8772.31,9574.82,-802.51,5390.91,5390.31,0.6,,,
2021-08-10,6583.35,6647.36,-64.01,5697.83,5866.02,-168.19,,,
2021-08-11,12747.47,13608.12,-860.65,6933.85,5022.08,1911.77,,,
2021-08-12,8150.87,8730.14,-579.27,7182.85,5447.35,1735.5,,,
2021-08-13,8016.33,7196.56,819.77,6104.54,5955.04,149.5,,,
2021-08-16,4271.83,5360.15,-1088.32,5203.45,4697.24,506.21,,,
2021-08-17,9253.8,9597.53,-343.73,5521.8,5255.37,266.43,,,
2021-08-18,9557.63,10152.95,-595.32,4726.39,5455.88,-729.49,,,
2021-08-20,10276.57,12563.6,-2287.03,6526.92,6407.62,119.3,,,
2021-08-23,7990.23,9353.59,-1363.36,6437.59,4985.08,1452.51,,,
2021-08-24,7371.72,9016.63,-1644.91,7418.2,5038.15,2380.05,,,
2021-08-25,6700.93,7772.76,-1071.83,4877.56,5028.95,-151.39,,,
2021-08-26,6663.43,8637.91,-1974.48,6544.18,5488.97,1055.21,,,
2021-08-27,7265.52,8044.27,-778.75,6055.14,4408.95,1646.19,,,
2021-08-30,8408.62,7205.81,1202.81,6678.62,5989.77,688.85,,,
2021-08-31,22832.93,18951.77,3881.16,5991.84,7864.24,-1872.4,,,
2021-09-02,11599.6,10298.95,1300.65,4649.82,6406.06,-1756.24,,,
2021-09-03,11281.25,8479.38,2801.87,6216.33,4966.11,1250.22,,,
2021-09-06,7088.53,7934.9,-846.37,5895.55,6167.25,-271.7,,,
2021-09-07,3852.21,4976.86,-1124.65,4360.25,4253.7,106.55,,,
2021-09-08,6240.73,6028.82,211.91,4657.93,5374.08,-716.15,,,
2021-09-09,10253.03,9829.59,423.44,5229.6,4525.39,704.21,,,
2021-09-11,7773.2,10218.45,-2445.25,7108.59,5690.96,1417.63,,,
2021-09-12,6194.93,7780.48,-1585.55,5623.94,4841.1,782.84,,,
2021-09-13,8682.14,7262.83,1419.31,4163.88,4723.47,-559.59,,,
2021-09-14,10755.82,9106.22,1649.6,5613.31,5923.62,-310.31,,,
2021-09-15,11172.43,10939.59,232.84,7452.63,7284.96,167.67,,,
2021-09-16,11766.93,10145.05,1621.88,6905.29,7700.42,-795.13,,,
2021-09-17,26776.57,25223.98,1552.59,8006.52,9405.07,-1398.55,,,
2021-09-20,7779.47,7686.93,92.54,6026.53,7653.11,-1626.58,,,
2021-09-21,8110.81,7068.89,1041.92,8010.59,5842.97,2167.62,,,
2021-09-22,7355.32,9298.58,-1943.26,7454.0,5603.98,1850.02,,,
2021-09-23,15839.77,15481.84,357.93,7976.47,6803.38,1173.09,,,
2021-09-24,11782.97,11340.48,442.49,7087.07,7602.92,-515.85,,,
2021-09-27,8019.79,8614.42,-594.63,6910.79,5513.1,1397.69,,,
2021-09-28,8825.85,10783.55,-1957.7,7926.05,7764.6,161.45,,,
2021-09-29,12949.38,14395.4,-1446.02,13948.96,10686.8,3262.16,,,
2021-09-30,10773.65,12999.25,-2225.6,6795.08,6697.9,97.18,,,
2021-10-02,9072.1,7285.13,1786.97,4749.91,6825.59,-2075.68,,,
2021-10-03,6534.99,6550.68,-15.69,4059.79,3612.12,447.67,,,
2021-10-05,6860.97,6277.28,583.69,5851.72,6327.98,-476.26,,,
2021-10-06,7447.97,6118.27,1329.7,4282.21,4857.4,-575.19,,,
2021-10-08,6674.19,6852.7,-178.51,6338.36,5649.36,689.0,,,
2021-10-11,9112.99,9582.49,-469.5,6903.17,6136.22,766.95,,,
2021-10-12,5595.06,6687.46,-1092.4,4477.51,4090.88,386.63,,,
2021-10-13,8528.34,7591.03,937.31,7681.34,8113.06,-431.72,,,
2021-10-14,10607.59,8925.99,1681.6,7706.79,9457.38,-1750.59,,,
2021-10-18,13343.73,12831.29,512.44,7720.49,9424.36,-1703.87,,,
2021-10-19,9298.03,9803.82,-505.79,5456.9,8035.12,-2578.22,,,
2021-10-20,15676.44,17519.53,-1843.09,7364.58,9045.31,-1680.73,,,
2021-10-21,11816.22,14635.12,-2818.9,8370.14,7941.69,428.45,,,
2021-10-22,5926.83,8624.53,-2697.7,8040.03,7010.06,1029.97,,,
2021-10-25,6854.2,9313.3,-2459.1,11137.25,8747.02,2390.23,,,
2021-10-26,7292.05,9660.71,-2368.66,8494.57,7109.16,1385.41,,,
2021-10-27,9323.8,11237.16,-1913.36,7986.46,7513.98,472.48,,,
2021-10-28,8215.03,12033.54,-3818.51,8311.63,7475.03,836.6,,,
2021-10-29,7303.32,12445.95,-5142.63,9716.1,5373.59,4342.51,,,
2021-11-01,9652.29,6513.39,3138.9,4496.85,7106.98,-2610.13,,,
2021-11-02,5627.71,4683.35,944.36,4271.11,4978.79,-707.68,,,
2021-11-05,6577.06,6913.06,-336.0,5172.16,5848.83,-676.67,,,
2021-11-06,5161.16,5142.52,18.64,5212.5,4546.14,666.36,,,
2021-11-08,7301.31,7063.17,238.14,6592.55,6386.27,206.28,,,
2021-11-10,13318.24,14621.46,-1303.22,6585.38,6958.66,-373.28,,,
2021-11-11,7188.28,8825.74,-1637.46,5429.96,4984.2,445.76,,,
2021-11-15,8557.01,8132.27,424.74,6336.76,4812.09,1524.67,,,
2021-11-16,9633.7,10194.37,-560.67,6404.64,5827.3,577.34,,,
2021-11-17,9321.89,9666.24,-344.35,5736.59,5797.73,-61.14,,,
2021-11-18,8781.77,12712.39,-3930.62,6846.1,4960.44,1885.66,,,
2021-11-22,11705.76,15144.52,-3438.76,7927.88,5876.7,2051.18,,,
2021-11-23,10101.07,14578.13,-4477.06,9030.24,7618.19,1412.05,,,
2021-11-24,9608.48,14731.13,-5122.65,7537.61,3727.99,3809.62,,,
2021-11-25,9017.44,11318.09,-2300.65,6056.57,4688.77,1367.8,,,
2021-11-26,6588.99,12374.82,-5785.83,9352.28,7058.17,2294.11,,,
2021-11-29,5625.13,8957.34,-3332.21,9527.82,4916.41,4611.41,,,
2021-11-30,42957.1,48402.35,-5445.25,11199.34,5849.11,5350.23,,,
2021-12-01,9354.82,8783.35,571.47,5556.61,6891.11,-1334.5,,,
2021-12-02,4252.21,4289.54,-37.33,3647.82,4245.44,-597.62,,,
2021-12-03,12080.56,13023.16,-942.6,4789.89,4953.76,-163.87,,,
2021-12-04,6519.91,8266.34,-1746.43,7165.01,6932.25,232.76,,,
2021-12-05,5312.0,6572.59,-1260.59,5372.26,6076.62,-704.36,,,
2021-12-07,8575.06,9321.03,-745.97,4188.51,3741.09,447.42,,,
2021-12-08,5690.17,5902.28,-212.11,5590.47,5282.72,307.75,,,
2021-12-10,7484.0,7762.32,-278.32,5976.21,6717.43,-741.22,,,
2021-12-11,10362.94,9851.84,511.1,6818.71,5967.3,851.41,,,
2021-12-13,7862.77,10606.21,-2743.44,6301.91,4950.88,1351.03,,,
2021-12-14,9498.29,10261.47,-763.18,5210.59,4785.16,425.43,,,
2021-12-15,5373.66,8780.7,-3407.04,5721.32,4168.31,1553.01,,,
2021-12-16,7439.82,8908.53,-1468.71,5426.59,3893.44,1533.15,,,
2021-12-17,13370.05,15439.95,-2069.9,9499.96,8021.44,1478.52,,,
2021-12-20,6744.39,10309.75,-3565.36,8746.23,5982.21,2764.02,,,
2021-12-21,5883.4,7093.22,-1209.82,6138.6,4733.71,1404.89,,,
2021-12-22,6162.32,6989.58,-827.26,5315.61,3722.2,1593.41,,,
2021-12-23,5415.35,5686.94,-271.59,5280.2,4083.72,1196.48,,,
2021-12-24,2360.05,3075.05,-715.0,3909.5,3952.74,-43.24,,,
2021-12-27,1996.94,3035.19,-1038.25,4016.54,3060.75,955.79,,,
2021-12-28,4761.39,4554.08,207.31,4112.0,3544.53,567.47,,,
2021-12-29,3417.8,4393.03,-975.23,5016.04,4009.11,1006.93,,,
2021-12-30,4512.12,5498.44,-986.32,9450.33,8872.59,577.74,,,
2021-12-31,4083.37,3507.98,575.39,4853.82,3688.2,1165.62,,,
2022-01-02,7145.99,7167.78,-21.79,7906.24,6308.54,1597.7,,,
2022-01-04,8279.77,6369.99,1909.78,5148.47,5332.26,-183.79,,,
2022-01-06,6446.02,8376.18,-1930.16,5457.08,4472.97,984.11,,,
2022-01-07,4979.59,7304.33,-2324.74,6588.46,5277.75,1310.71,,,
2022-01-08,16377.49,14056.88,2320.61,5331.92,6154.15,-822.23,,,
2022-01-13,7418.36,8809.21,-1390.85,7051.03,5985.71,1065.32,,,
2022-01-14,6143.95,7742.15,-1598.2,5560.51,5189.1,371.41,,,
2022-01-17,5792.76,6648.23,-855.47,5605.54,5720.85,-115.31,,,
2022-01-18,5409.34,6664.29,-1254.95,5794.75,6014.95,-220.2,,,
2022-01-19,7690.73,10395.5,-2704.77,7241.45,7436.52,-195.07,,,
2022-01-20,7974.39,12654.23,-4679.84,6385.75,5616.49,769.26,,,
2022-01-21,7564.37,10712.95,-3148.58,6930.43,6661.07,269.36,,,
2022-01-24,5030.52,8782.1,-3751.58,8243.09,8168.21,74.88,,,
