,ICICI_Close_ret,Nifty_Close_ret,BankNifty_Close_ret,Gold_Close_ret,USD_INR_ret,Bond_10Y_ret,Bond_5Y_ret,US_10Y_ret,US_5Y_ret,FII_Net_chg,DII_Net_chg,CPI_Index_chg,WPI_Index_chg,Trade_Balance_Billion_USD_chg,Repo_Rate_%_chg,CRR_%_chg,Real_GDP_YoY_Growth_%_chg,Net Profit (₹ Cr)_chg,NII (₹ Cr)_chg
2024-07-12,-0.004491441875564523,0.007628403248955412,0.0001578199095780896,-0.0004141644291962591,-0.0010775218043446403,0.0005727377017959704,-0.0007161785022864953,-0.0009543570510969256,-0.0029147661207306447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-15,-0.0023956330494295927,0.0034447298074261035,0.003379968716949005,0.0036800068503831792,0.0008381728324026489,-0.000715973396375849,-0.0028698541723016576,0.009503507212270824,0.00509522110919264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-16,0.008057224698394563,0.0010691440871768358,-0.0011272511427603748,0.016171314917783012,0.0005982650492532878,-0.00215100104445491,-0.003454732095918115,-0.014769271640623374,-0.010216536509462179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17,0.0,0.0,0.0,-0.00309113301982428,-0.000598265049253236,0.0,0.0,-0.005052316567114574,-0.00441072155635891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-18,0.008352907011125064,0.007603152387120198,0.00426402793328968,-0.0012228428297097356,0.00035900197836656594,0.0,-0.002165284137216658,0.010318080995467079,0.008071461744891513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19,-0.0013206724161051028,-0.010944347737899481,-0.006771122831425262,-0.02323049125293214,0.0014347204756603724,-0.0001435647120404524,-0.00028905911460123674,0.011865282547523915,0.014030246319387074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22,-0.006024482641527052,-0.0008829659721330775,0.0002830691771813861,-0.0014621412526544951,-0.0005975500625965706,0.00028710881621271146,0.0023101367478547694,0.004941858535013359,0.0038359658621361196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23,-0.011670033989984636,-0.0012329157000276177,-0.009650352285402888,0.005253774082549602,0.0003585728837799085,0.00043050872445071526,-0.0017321020496792808,-0.004941858535013379,-0.006963602509607451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-24,-0.0030615817682975877,-0.00268142363114976,-0.008949076367078798,0.0036115155414233003,0.0004778972611862081,-0.0008612028664897904,-0.0028935205373407684,0.011026489064824277,0.002647018688416841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-25,-0.02073681344614671,-0.0003031729363163769,-0.008380203780163626,-0.025771655108934748,-0.00023892008236928305,-0.0017246339428517673,-0.0027566212595844953,-0.007024082640460861,-0.0033702342012564223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
