Date,ICICI_Close,Nifty_Close,BankNifty_Close,Gold_Close,USD_INR,Bond_10Y,Bond_5Y,US_10Y,US_5Y,FII_Net,DII_Net,CPI_Index,WPI_Index,Trade_Balance_Billion_USD,Repo_Rate_%,CRR_%,Real_GDP_YoY_Growth_%,Net Profit (₹ Cr),NII (₹ Cr),Nifty_RSI_14,BankNifty_RSI_14,ICICI_RSI_14
2024-07-24,1223.0,24413.5,51317.0,2413.300048828125,83.72,6.964,6.902,4.285999774932861,4.160999774932861,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,60.54925071421651,44.58679562677302,55.33025830869911
2024-07-25,1197.9000244140625,24406.099609375,50888.75,2351.89990234375,83.7,6.952,6.883,4.25600004196167,4.146999835968018,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,60.23085105299229,40.469168783627296,46.34254318469576
2024-07-26,1207.199951171875,24834.849609375,51295.94921875,2380.0,83.7,6.94,6.844,4.199999809265137,4.081999778747559,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,70.05546628315032,45.61238722129056,49.608672056067995
2024-07-29,1212.699951171875,24836.099609375,51406.25,2377.300048828125,83.75,6.919,6.841,4.177999973297119,4.067999839782715,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,70.07867443975388,46.949412314585274,51.48932389965383
2024-07-30,1209.449951171875,24857.30078125,51499.30078125,2405.0,83.7,6.931,6.85,4.14300012588501,4.0370001792907715,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,70.49634460629471,48.108358026620145,50.294837081852485
2024-07-31,1214.9000244140625,24951.150390625,51553.3984375,2426.5,83.73,6.924,6.846,4.109000205993652,4.0,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,72.33714584882676,48.80854412536017,52.29352576851527
2024-08-01,1210.0999755859375,25010.900390625,51564.0,2435.0,83.7,6.916,6.823,3.9760000705718994,3.8420000076293945,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,73.47196405084907,48.95390739622254,50.37236378707954
2024-08-02,1196.550048828125,24717.69921875,51350.1484375,2425.699951171875,83.79,6.9,6.8,3.7920000553131104,3.615000009536743,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,60.381731938054735,46.10960454716059,45.31175339011771
2024-08-05,1172.5999755859375,24055.599609375,50092.1015625,2401.699951171875,83.83,6.86,6.783,3.785000085830689,3.628000020980835,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,42.128375810519046,33.703560138040345,38.03765896759134
2024-08-06,1166.8499755859375,23992.55078125,49748.30078125,2389.10009765625,83.91,6.872,6.787,3.888000011444092,3.7300000190734863,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,40.8616250712441,31.23060071134779,36.521776122162535
2024-08-07,1172.449951171875,24297.5,50119.0,2390.5,83.96,6.862,6.778,3.9679999351501465,3.7950000762939458,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,48.869729540209306,36.62975907433508,39.06858353027817
2024-08-08,1164.5999755859375,24117.0,50156.69921875,2422.199951171875,83.95,6.877,6.791,3.996999979019165,3.8329999446868896,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,44.9866329163498,37.17000712513528,36.83743939177052
2024-08-09,1171.5999755859375,24367.5,50484.5,2432.10009765625,83.92,6.88,6.791,3.941999912261963,3.7960000038146977,3040.46,-839.45,154.1362,136.303904538932,-21.21041,6.75,4.5,7.456116364981313,9648.0,18227.0,50.82627917779867,41.81496190870197,40.12131453992794
2024-08-12,1172.800048828125,24347.0,50577.94921875,2462.39990234375,83.92,6.879,6.793,3.9089999198913574,3.749000072479248,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,7.456116364981313,10261.0,18308.0,50.355200489218774,43.10626822467647,40.690619142950865
2024-08-13,1168.3499755859375,24139.0,49831.8515625,2466.699951171875,83.97,6.88,6.789,3.8519999980926514,3.681999921798706,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,7.456116364981313,10261.0,18308.0,45.72448479764928,36.19882785586159,39.20219431886136
2024-08-14,1161.6500244140625,24143.75,49727.30078125,2439.39990234375,83.91,6.858,6.777,3.819999933242798,3.6659998893737793,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,7.456116364981313,10261.0,18308.0,45.846958149258576,35.34413444078447,37.0073212070115
