,ICICI_Close,Nifty_Close,BankNifty_Close,Gold_Close,USD_INR,Bond_10Y,Bond_5Y,US_10Y,US_5Y,FII_Net,DII_Net,CPI_Index,WPI_Index,Trade_Balance_Billion_USD,Repo_Rate_%,CRR_%,Real_GDP_YoY_Growth_%,Net Profit (₹ Cr),NII (₹ Cr)
2023-04-20,872.7918701171875,17624.44921875,42269.5,2007.5999755859375,82.1,7.22,7.04,3.5450000762939453,3.640000104904175,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-21,864.2532348632812,17624.05078125,42118.0,1979.5,82.06,7.185,7.036,3.569999933242798,3.66100001335144,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-24,882.8917846679688,17743.400390625,42635.75,1989.0999755859375,81.9,7.111,7.009,3.515000104904175,3.6050000190734863,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-25,891.3816528320312,17769.25,42678.5,1994.0,81.92,7.11,6.993,3.3959999084472656,3.441999912261963,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-26,892.8453979492188,17813.599609375,42829.8984375,1985.699951171875,81.74,7.116,7.011,3.431999921798706,3.4800000190734863,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-27,896.1632080078125,17915.05078125,43000.8515625,1989.9000244140625,81.84,7.097,7.014,3.5280001163482666,3.6019999980926514,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-04-28,895.4801635742188,18065.0,43233.8984375,1990.0999755859375,81.84,7.116,7.031,3.4519999027252197,3.5360000133514404,3040.46,-839.45,146.8646,136.303904538932,-22.43019,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-01,895.4801635742188,18065.0,43233.8984375,1983.4000244140625,81.84,7.116,7.031,3.5739998817443848,3.632999897003174,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-02,899.8225708007812,18147.650390625,43352.1015625,2014.300048828125,81.89,7.106,7.0,3.438999891281128,3.4660000801086426,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-03,900.554443359375,18089.849609375,43312.69921875,2028.5999755859375,81.83,7.011,6.948,3.4030001163482666,3.4110000133514404,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
